Date,Temperature °C,,,,Relative Humidity (%),,Evaporation (mm),Rainfall (mm),Wind speed (Km/hr),Wind direction,Sun shine (hr/day,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Soil Thermometer °C,,,,
,Max,Min,Wet,Dry,,,,,,,,5,10,15,20,30
,,,,,,,,,,,,cm,Cm,Cm,cm,Cm
,,,,,7.22 hrs.,14.22 hrs.,,,,,,,,,,
01.01.2023,29.4,18.6,,,88.7,58.2,5,0,5.2,N-W,5.2,,,,,
02.01.2023,30.1,18.8,,,89.9,57.5,5.6,0,4.68,N-E,6,,,,,
03.01.2023,29.6,19.2,,,90.6,62.1,4.8,0,4.2,N-E,5.3,,,,,
04.01.2023,28.9,19.4,,,89.1,60.3,4.2,0,6.4,N-E,4,,,,,
05.01.2023,29.3,19.2,,,90.2,66.1,6.5,0,5,S-E,7.2,,,,,
06.01.2023,29,18.8,,,88.3,61.4,6.3,0,4.35,N-W,7.2,,,,,
07.01.2023,29.2,18.3,,,89.8,64.6,5,0,7.12,N-E,6.5,,,,,
08.01.2023,28.9,19.2,,,85.8,57.7,4.8,0,6.72,N-E,6,,,,,
09.01.2023,29.5,16.1,,,90.8,55.1,5.2,0,4.8,N-E,6.1,,,,,
10.01.2023,28.2,15.3,,,88.6,55,6.8,0,5.3,N-E,8.3,,,,,
11.01.2023,28.5,15.1,,,90.7,50.3,6.5,0,4.6,N-E,8.2,,,,,
12.01.2023,29.1,15.1,,,85.8,40.5,3.6,0,4.12,S-W,4.3,,,,,
13.01.2023,29.9,15.1,,,90,56.3,5.4,0,5.34,N-E,7,,,,,
14.01.2023,28.9,15.2,,,86.8,50.4,4,0,5.02,N-E,5.2,,,,,
15.01.2023,30.1,14.9,,,87.4,47.3,5.5,0,4.29,E,6,,,,,
16.01.2023,29.3,14.8,,,90.8,56.6,50,0,4.62,N-E,6.2,,,,,
17.01.2023,29.1,14.8,,,89.9,54.9,3.8,0,3.86,N-E,4.2,,,,,
18.01.2023,28.6,15.8,,,90.2,57.4,6,0,5.54,N-E,8.3,,,,,
19.01.2023,28.3,15.7,,,89.7,54.5,5,0,4.78,N-E,5.4,,,,,
20.01.2023,28.7,16.4,,,88.7,65.1,7.2,0,4.2,N-E,9,,,,,
21.01.2023,27.6,17.8,,,85.4,58.8,6.4,0,6.08,N-E,8.5,,,,,
22.01.2023,29.3,18.1,,,90.1,54.9,6.5,0,4.73,N-E,8.3,,,,,
23.01.2023,29.1,18,,,87.3,64.1,5.6,0,4.47,S-W,7,,,,,
24.01.2023,28.7,19.1,,,87.7,57.7,4,0,4.22,S-E,5.4,,,,,
25.01.2023,29.8,15.6,,,89,57.4,4,0,4.64,N-E,6,,,,,
26.01.2023,29.3,15.6,,,84.1,58.3,4.2,0,5.35,N-E,6.3,,,,,
27.01.2023,29.9,16.2,,,85.1,55.2,5,0,5.57,N-E,6,,,,,
28.01.2023,29.7,15.7,,,89.1,57.3,4.5,0,4.3,E,5.5,,,,,
29.01.2023,29.4,16.6,,,90.6,58.5,4,0,4.42,N-E,4.3,,,,,
30.01.2023,29.6,17.3,,,89.7,52.4,4.7,0,4.68,N-W,5,,,,,
31.01.2023,29.7,16.4,,,88.4,48.8,6.5,0,5.14,N-E,8.3,,,,,
01.02.2023,30.2,19.7,,,84.6,36.3,5,0,5.47,N-E,8.4,,,,,
02.02.2023,31,20.2,,,89.2,50.9,5.8,0,6.3,N-E,8.2,,,,,
03.02.2023,29.6,19.9,,,91.3,62,6,0,5.32,N-E,7.4,,,,,
04.02.2023,30.4,18.5,,,93.5,56.1,5,0,5.46,N-E,7,,,,,
05.02.2023,30.8,18.5,,,92.5,52.3,5.2,0,5.84,S-E,7.2,,,,,
06.02.2023,31.2,16.8,,,92.2,48.4,5.6,0,6,N-E,9,,,,,
07.02.2023,31.2,17.6,,,89.4,40.9,5,0,4.6,E,6.3,,,,,
08.02.2023,32.7,18.6,,,90.8,49.6,4.8,0,5.26,N-E,9.3,,,,,
09.02.2023,31.4,17.6,,,88.7,49.2,5,0,5,N-E,9,,,,,
10.02.2023,31.3,17.6,,,92,36.9,5.6,0,6.1,N-E,8.3,,,,,
11.02.2023,33.1,15.9,,,87.9,39.6,6.4,0,5.42,N-E,10.3,,,,,
12.02.2023,31.3,16.6,,,85.9,28.7,6,0,7.5,N-E,9.2,,,,,
13.02.2023,33.3,16.2,,,80.8,27.4,4.6,0,6.1,N-E,9,,,,,
14.02.2023,33.3,15.5,,,89.6,32.9,5,0,5.61,S-W,8.3,,,,,
15.02.2023,32.6,16.6,,,86.9,39.4,4.8,0,5.23,E,8.3,,,,,
16.02.2023,32.7,16.4,,,91.3,48.7,5,0,5.62,N-E,9.4,,,,,
17.02.2023,31.1,16.6,,,88.3,52.2,5.4,0,6.25,N-E,9.3,,,,,
18.02.2023,31.3,15.9,,,90.4,42.6,4,0,4.92,S-E,9,,,,,
19.02.2023,31.4,16.2,,,89.4,49.3,4.6,0,6.12,N-E,8.4,,,,,
20.02.2023,31.6,18.7,,,87.3,38.6,5.2,0,6,N-E,8,,,,,
21.02.2023,32.6,16.3,,,83.6,38.3,5,0,5.78,N-E,8.1,,,,,
22.02.2023,33.3,17.4,,,86.4,37.7,4,0,5.26,N-E,9.3,,,,,
23.02.2023,32.8,15.9,,,85.1,43.4,5.4,0,4.36,N-E,9,,,,,
24.02.2023,32.3,16.9,,,91.4,41,5,0,6.25,S-W,7.4,,,,,
25.02.2023,32.6,16.9,,,91.8,29.9,4.6,0,5.18,N-E,8,,,,,
26.02.2023,34.2,16.1,,,80.1,45.6,5.8,0,5.78,N-E,8.3,,,,,
27.02.2023,32.2,16.8,,,89.6,30.2,5,0,6.27,N-E,8,,,,,
28.02.2023,32.7,17.2,,,91.5,55.2,6,0,5.12,N-E,8.4,,,,,
01.03.2023,34.2,18.2,,,88,42.1,6,0,5.42,N-E,7.3,,,,,
02.03.2023,33.1,17.2,,,90.4,40.6,5,0,6.15,N-E,7,,,,,
03.03.2023,32.1,15.3,,,72.1,42.1,5.6,0,5.62,N-E,8.4,,,,,
04.03.2023,32.4,14.3,,,78.1,40.2,6,0,5.84,N-E,9,,,,,
05.03.2023,33.1,15.3,,,83.6,43.5,5.8,0,4.96,N-E,6.3,,,,,
06.03.2023,32.9,16.4,,,84.7,44,5.4,0,5,N-E,6.3,,,,,
07.03.2023,32.5,15.8,,,89.4,46.9,5,0,5.25,S-E,7.2,,,,,
08.03.2023,31.8,17.3,,,90.6,36.7,5,0,6.2,E,8,,,,,
09.03.2023,32.9,18.6,,,88.4,56,5.6,0,6,N-E,8.3,,,,,
10.03.2023,31.3,19.2,,,92.5,51.2,6,0,4.88,N-E,8,,,,,
11.03.2023,31.7,18.4,,,89.9,48.6,5.8,0,5.27,S-E,7.3,,,,,
12.03.2023,32.1,18.4,,,91.3,48.6,5,0,4.65,N-E,6,,,,,
13.03.2023,33,19.9,,,89.3,36.2,5..0,0,6.14,N-E,8.2,,,,,
14.03.2023,33.4,19.2,,,90,34.5,5.6,0,5.2,N-E,6.3,,,,,
15.03.2023,34.2,20.4,,,88,28.3,6,0,6.04,N-E,7,,,,,
16.03.2023,32.8,20.6,,,85,25.1,5.2,0,4.94,N-E,9,,,,,
17.03.2023,32.8,23.8,,,87.4,57.2,5,0,5.23,S-W,8,,,,,
18.03.2023,32.9,23,,,90.6,42.6,5,0,6.1,E,7.3,,,,,
19.03.2023,33.5,21.8,,,89,48.1,5.8,0,4.86,N-E,6,,,,,
20.03.2023,31.3,21.9,,,86.7,48.3,6,0,5.73,N-E,6.2,,,,,
21.03.2023,31.3,21.9,,,85.6,36.4,5.8,0,6.17,N-E,8,,,,,
22.03.2023,34.3,19.2,,,88.5,42.3,6.8,0,5.42,E,7,,,,,
23.03.2023,33.1,20.4,,,72.8,36.4,5.6,0,6.34,S-E,7.3,,,,,
24.03.2023,32.4,16.5,,,86.4,30.7,5,0,6.85,S-E,8,,,,,
25.03.2023,35.1,14.7,,,84.7,40.6,5.4,0,4.9,N-E,8.3,,,,,
26.03.2023,32.6,18.4,,,84.7,42.8,6,0,6.2,N-E,8,,,,,
27.03.2023,32.7,15.2,,,86.8,45.4,5.8,0,6.46,W,6,,,,,
28.03.2023,34.1,16.3,,,84.5,52.6,5.4,0,6.8,N-E,6.4,,,,,
29.03.2023,31.2,18.3,,,86.8,54.2,6,0,5.62,S-E,7,,,,,
30.03.2023,33.6,19.8,,,82.2,46.8,6,0,6.86,N-E,8.3,,,,,
31.03.2023,34.4,18.6,,,84.6,36.8,6.8,0,6.1,N-E,7.3,,,,,
01.04.2023,36,26,,,82,57,6,0,5.12,N-E,8.3,,,,,
02.04.2023,36,27,,,84,53,5.8,0,4.85,N-E,7,,,,,
03.04.2023,34,24.5,,,88,56,7.4,0,6.02,N-E,10,,,,,
04.04.2023,38,28,,,86,48,5.8,0,6.78,N-E,9.4,,,,,
05.04.2023,36,28,,,87,51,6,0,5.46,N-E,9,,,,,
06.04.2023,38.5,25,,,90,50,7,0,5.77,N-E,8.3,,,,,
07.04.2023,34.5,28.5,,,78,48,4.9,0,6.41,S-E,8,,,,,
08.04.2023,36,27,,,84,52,5.4,0,4.78,N-E,7.3,,,,,
09.04.2023,38,26,,,87,51,6,0,5.66,N-E,7.4,,,,,
10.04.2023,40,28,,,83,54,6,0,6.74,N-W,8.4,,,,,
11.04.2023,39.5,25,,,86,38,6,0,5.22,N-E,9,,,,,
12.04.2023,38,27,,,76,36,6.8,0,4.86,N-W,8,,,,,
13.04.2023,38,26,,,78,30,5.4,0,6.54,N-E,9,,,,,
14.04.2023,37.5,28.5,,,91,28,5.8,0,6,N-E,10.3,,,,,
15.04.2023,36,26.5,,,69,30,4.8,0,5.66,E,6,,,,,
16.04.2023,38.5,26,,,74,28,5,0,4.89,S-E,6.4,,,,,
17.04.2023,36,27,,,78,32,6,0,5.32,N-E,10.3,,,,,
18.04.2023,38,20,,,64,34,5.6,0,5.97,N-E,10,,,,,
19.04.2023,37,22,,,83,38,6,0,6.28,S-E,9.3,,,,,
20.04.2023,39,26,,,83,44,7.6,0,6,N-E,9,,,,,
21.04.2023,39.5,25.5,,,79,37,9.5,0,6.12,N-E,7,,,,,
22.04.2023,40,27,,,87,50,4,16,5.03,N-E,8.3,,,,,
23.04.2023,38,24,,,88,58,8,0,5.74,N-E,5,,,,,
24.04.2023,37.5,25,,,83,46,7,5.8,6.44,E,9,,,,,
25.04.2023,36,26.5,,,84,48,8,0,6.78,N-E,10,,,,,
26.04.2023,34,27,,,87,54,7,0,5.61,E,8,,,,,
27.04.2023,38,27,,,84,54,10,0,6.48,W,7,,,,,
28.04.2023,36,28,,,86,52,8.5,0,5.66,S-W,8.3,,,,,
29.04.2023,35,24,,,88,50,6,0,6.74,S-W,8,,,,,
30.04.2023,37,27,,,91,58,7.8,0,5.86,N-E,9.2,,,,,
01.05.2023,34,25,25,29,72,52,9,0,5.12,E,6,,,,,
02.05.2023,36,26,24.5,26,87,56,3.8,17,4.86,N-E,5.3,,,,,
