month,T_max,T_min,Humidity_1,Humidity_2,WindSpeed,Sunshine Hours
1.0,29.4,18.6,88.7,58.2,5.2,5.2
1.0,30.1,18.8,89.9,57.5,4.68,6.0
1.0,29.6,19.2,90.6,62.1,4.2,5.3
1.0,28.9,19.4,89.1,60.3,6.4,4.0
1.0,29.3,19.2,90.2,66.1,5.0,7.2
1.0,29.0,18.8,88.3,61.4,4.35,7.2
1.0,29.2,18.3,89.8,64.6,7.12,6.5
1.0,28.9,19.2,85.8,57.7,6.72,6.0
1.0,29.5,16.1,90.8,55.1,4.8,6.1
1.0,28.2,15.3,88.6,55.0,5.3,8.3
1.0,28.5,15.1,90.7,50.3,4.6,8.2
1.0,29.1,15.1,85.8,40.5,4.12,4.3
1.0,29.9,15.1,90.0,56.3,5.34,7.0
1.0,28.9,15.2,86.8,50.4,5.02,5.2
1.0,30.1,14.9,87.4,47.3,4.29,6.0
1.0,29.3,14.8,90.8,56.6,4.62,6.2
1.0,29.1,14.8,89.9,54.9,3.86,4.2
1.0,28.6,15.8,90.2,57.4,5.54,8.3
1.0,28.3,15.7,89.7,54.5,4.78,5.4
1.0,28.7,16.4,88.7,65.1,4.2,9.0
1.0,27.6,17.8,85.4,58.8,6.08,8.5
1.0,29.3,18.1,90.1,54.9,4.73,8.3
1.0,29.1,18.0,87.3,64.1,4.47,7.0
1.0,28.7,19.1,87.7,57.7,4.22,5.4
1.0,29.8,15.6,89.0,57.4,4.64,6.0
1.0,29.3,15.6,84.1,58.3,5.35,6.3
1.0,29.9,16.2,85.1,55.2,5.57,6.0
1.0,29.7,15.7,89.1,57.3,4.3,5.5
1.0,29.4,16.6,90.6,58.5,4.42,4.3
1.0,29.6,17.3,89.7,52.4,4.68,5.0
1.0,29.7,16.4,88.4,48.8,5.14,8.3
2.0,30.2,19.7,84.6,36.3,5.47,8.4
2.0,31.0,20.2,89.2,50.9,6.3,8.2
2.0,29.6,19.9,91.3,62.0,5.32,7.4
2.0,30.4,18.5,93.5,56.1,5.46,7.0
2.0,30.8,18.5,92.5,52.3,5.84,7.2
2.0,31.2,16.8,92.2,48.4,6.0,9.0
2.0,31.2,17.6,89.4,40.9,4.6,6.3
2.0,32.7,18.6,90.8,49.6,5.26,9.3
2.0,31.4,17.6,88.7,49.2,5.0,9.0
2.0,31.3,17.6,92.0,36.9,6.1,8.3
2.0,33.1,15.9,87.9,39.6,5.42,10.3
2.0,31.3,16.6,85.9,28.7,7.5,9.2
2.0,33.3,16.2,80.8,27.4,6.1,9.0
2.0,33.3,15.5,89.6,32.9,5.61,8.3
2.0,32.6,16.6,86.9,39.4,5.23,8.3
2.0,32.7,16.4,91.3,48.7,5.62,9.4
2.0,31.1,16.6,88.3,52.2,6.25,9.3
2.0,31.3,15.9,90.4,42.6,4.92,9.0
2.0,31.4,16.2,89.4,49.3,6.12,8.4
2.0,31.6,18.7,87.3,38.6,6.0,8.0
2.0,32.6,16.3,83.6,38.3,5.78,8.1
2.0,33.3,17.4,86.4,37.7,5.26,9.3
2.0,32.8,15.9,85.1,43.4,4.36,9.0
2.0,32.3,16.9,91.4,41.0,6.25,7.4
2.0,32.6,16.9,91.8,29.9,5.18,8.0
2.0,34.2,16.1,80.1,45.6,5.78,8.3
2.0,32.2,16.8,89.6,30.2,6.27,8.0
2.0,32.7,17.2,91.5,55.2,5.12,8.4
3.0,34.2,18.2,88.0,42.1,5.42,7.3
3.0,33.1,17.2,90.4,40.6,6.15,7.0
3.0,32.1,15.3,72.1,42.1,5.62,8.4
3.0,32.4,14.3,78.1,40.2,5.84,9.0
3.0,33.1,15.3,83.6,43.5,4.96,6.3
3.0,32.9,16.4,84.7,44.0,5.0,6.3
3.0,32.5,15.8,89.4,46.9,5.25,7.2
3.0,31.8,17.3,90.6,36.7,6.2,8.0
3.0,32.9,18.6,88.4,56.0,6.0,8.3
3.0,31.3,19.2,92.5,51.2,4.88,8.0
3.0,31.7,18.4,89.9,48.6,5.27,7.3
3.0,32.1,18.4,91.3,48.6,4.65,6.0
3.0,33.0,19.9,89.3,36.2,6.14,8.2
3.0,33.4,19.2,90.0,34.5,5.2,6.3
3.0,34.2,20.4,88.0,28.3,6.04,7.0
3.0,32.8,20.6,85.0,25.1,4.94,9.0
3.0,32.8,23.8,87.4,57.2,5.23,8.0
3.0,32.9,23.0,90.6,42.6,6.1,7.3
3.0,33.5,21.8,89.0,48.1,4.86,6.0
3.0,31.3,21.9,86.7,48.3,5.73,6.2
3.0,31.3,21.9,85.6,36.4,6.17,8.0
3.0,34.3,19.2,88.5,42.3,5.42,7.0
3.0,33.1,20.4,72.8,36.4,6.34,7.3
3.0,32.4,16.5,86.4,30.7,6.85,8.0
3.0,35.1,14.7,84.7,40.6,4.9,8.3
3.0,32.6,18.4,84.7,42.8,6.2,8.0
3.0,32.7,15.2,86.8,45.4,6.46,6.0
3.0,34.1,16.3,84.5,52.6,6.8,6.4
3.0,31.2,18.3,86.8,54.2,5.62,7.0
3.0,33.6,19.8,82.2,46.8,6.86,8.3
3.0,34.4,18.6,84.6,36.8,6.1,7.3
4.0,36.0,26.0,82.0,57.0,5.12,8.3
4.0,36.0,27.0,84.0,53.0,4.85,7.0
4.0,34.0,24.5,88.0,56.0,6.02,10.0
4.0,38.0,28.0,86.0,48.0,6.78,9.4
4.0,36.0,28.0,87.0,51.0,5.46,9.0
4.0,38.5,25.0,90.0,50.0,5.77,8.3
4.0,34.5,28.5,78.0,48.0,6.41,8.0
4.0,36.0,27.0,84.0,52.0,4.78,7.3
4.0,38.0,26.0,87.0,51.0,5.66,7.4
4.0,40.0,28.0,83.0,54.0,6.74,8.4
4.0,39.5,25.0,86.0,38.0,5.22,9.0
4.0,38.0,27.0,76.0,36.0,4.86,8.0
4.0,38.0,26.0,78.0,30.0,6.54,9.0
4.0,37.5,28.5,91.0,28.0,6.0,10.3
4.0,36.0,26.5,69.0,30.0,5.66,6.0
4.0,38.5,26.0,74.0,28.0,4.89,6.4
4.0,36.0,27.0,78.0,32.0,5.32,10.3
4.0,38.0,20.0,64.0,34.0,5.97,10.0
4.0,37.0,22.0,83.0,38.0,6.28,9.3
4.0,39.0,26.0,83.0,44.0,6.0,9.0
4.0,39.5,25.5,79.0,37.0,6.12,7.0
4.0,40.0,27.0,87.0,50.0,5.03,8.3
4.0,38.0,24.0,88.0,58.0,5.74,5.0
4.0,37.5,25.0,83.0,46.0,6.44,9.0
4.0,36.0,26.5,84.0,48.0,6.78,10.0
4.0,34.0,27.0,87.0,54.0,5.61,8.0
4.0,38.0,27.0,84.0,54.0,6.48,7.0
4.0,36.0,28.0,86.0,52.0,5.66,8.3
4.0,35.0,24.0,88.0,50.0,6.74,8.0
4.0,37.0,27.0,91.0,58.0,5.86,9.2
5.0,34.0,25.0,72.0,52.0,5.12,6.0
5.0,36.0,26.0,87.0,56.0,4.86,5.3
5.0,36.0,25.0,91.0,62.0,6.24,6.3
5.0,36.0,26.0,83.0,58.0,6.02,4.3
5.0,34.0,26.0,84.0,68.0,5.6,8.3
5.0,35.0,26.0,91.0,66.0,4.89,4.3
5.0,36.0,27.0,91.0,63.0,6.12,3.4
5.0,35.0,26.0,90.0,60.0,5.78,9.3
5.0,36.5,26.5,88.0,64.0,5.3,8.4
5.0,36.0,27.0,87.0,54.0,6.8,5.0
5.0,37.0,26.5,87.0,43.0,7.02,9.0
5.0,34.0,24.0,92.0,51.0,6.55,4.0
5.0,36.0,27.0,89.0,59.0,7.0,8.3
5.0,34.0,26.0,76.0,46.0,5.66,8.0
5.0,39.0,28.0,69.0,44.0,5.35,8.4
5.0,40.0,28.5,87.0,44.0,4.67,9.4
5.0,42.0,28.0,84.0,46.0,5.25,10.0
5.0,40.0,29.0,82.0,48.0,6.44,7.0
5.0,40.0,26.0,88.0,67.0,5.14,9.3
5.0,41.0,35.0,91.0,50.0,5.0,8.3
5.0,40.0,28.0,70.0,52.0,7.21,5.0
5.0,39.0,28.0,84.0,48.0,8.16,9.0
5.0,37.0,29.0,76.0,40.0,6.77,10.0
5.0,34.0,27.0,90.0,52.0,4.68,7.4
