Day,Growth Stage,Days Left in Stage,Kc Value,Predicted ETo (mm),Predicted ETc (mm)
Day 11,initial,4,0.3,1.9064702353226557,0.5719410705967967
Day 12,initial,3,0.3,1.9064702353226557,0.5719410705967967
Day 13,initial,2,0.3,1.9064702353226557,0.5719410705967967
Day 14,initial,1,0.3,1.9064702353226557,0.5719410705967967
Day 15,initial,0,0.3,1.9064702353226557,0.5719410705967967
Day 16,development,24,0.7,1.9064702353226557,1.3345291647258588
Day 17,development,23,0.7,1.9064702353226557,1.3345291647258588
Day 18,development,22,0.7,1.9064702353226557,1.3345291647258588
Day 19,development,21,0.7,1.9064702353226557,1.3345291647258588
Day 20,development,20,0.7,1.9064702353226557,1.3345291647258588
Day 21,development,19,0.7,1.9064702353226557,1.3345291647258588
Day 22,development,18,0.7,1.9064702353226557,1.3345291647258588
Day 23,development,17,0.7,1.9064702353226557,1.3345291647258588
Day 24,development,16,0.7,1.9064702353226557,1.3345291647258588
Day 25,development,15,0.7,1.9064702353226557,1.3345291647258588
Day 26,development,14,0.7,1.9064702353226557,1.3345291647258588
Day 27,development,13,0.7,1.9064702353226557,1.3345291647258588
Day 28,development,12,0.7,1.9064702353226557,1.3345291647258588
Day 29,development,11,0.7,1.9064702353226557,1.3345291647258588
Day 30,development,10,0.7,1.9064702353226557,1.3345291647258588
Day 31,development,9,0.7,1.9064702353226557,1.3345291647258588
Day 32,development,8,0.7,1.9064702353226557,1.3345291647258588
Day 33,development,7,0.7,1.9064702353226557,1.3345291647258588
Day 34,development,6,0.7,1.9064702353226557,1.3345291647258588
Day 35,development,5,0.7,1.9064702353226557,1.3345291647258588
Day 36,development,4,0.7,1.9064702353226557,1.3345291647258588
Day 37,development,3,0.7,1.9064702353226557,1.3345291647258588
Day 38,development,2,0.7,1.9064702353226557,1.3345291647258588
Day 39,development,1,0.7,1.9064702353226557,1.3345291647258588
Day 40,development,0,0.7,1.9064702353226557,1.3345291647258588
Day 41,mid-season,49,1.15,1.9064702353226557,2.192440770621054
Day 42,mid-season,48,1.15,1.9064702353226557,2.192440770621054
Day 43,mid-season,47,1.15,1.9064702353226557,2.192440770621054
Day 44,mid-season,46,1.15,1.9064702353226557,2.192440770621054
Day 45,mid-season,45,1.15,1.9064702353226557,2.192440770621054
Day 46,mid-season,44,1.15,1.9064702353226557,2.192440770621054
Day 47,mid-season,43,1.15,1.9064702353226557,2.192440770621054
Day 48,mid-season,42,1.15,1.9064702353226557,2.192440770621054
Day 49,mid-season,41,1.15,1.9064702353226557,2.192440770621054
Day 50,mid-season,40,1.15,1.9064702353226557,2.192440770621054
Day 51,mid-season,39,1.15,1.9064702353226557,2.192440770621054
Day 52,mid-season,38,1.15,1.9064702353226557,2.192440770621054
Day 53,mid-season,37,1.15,1.9064702353226557,2.192440770621054
Day 54,mid-season,36,1.15,1.9064702353226557,2.192440770621054
Day 55,mid-season,35,1.15,1.9064702353226557,2.192440770621054
Day 56,mid-season,34,1.15,1.9064702353226557,2.192440770621054
Day 57,mid-season,33,1.15,1.9064702353226557,2.192440770621054
Day 58,mid-season,32,1.15,1.9064702353226557,2.192440770621054
Day 59,mid-season,31,1.15,1.9064702353226557,2.192440770621054
Day 60,mid-season,30,1.15,1.9064702353226557,2.192440770621054
Day 61,mid-season,29,1.15,1.9064702353226557,2.192440770621054
Day 62,mid-season,28,1.15,1.9064702353226557,2.192440770621054
Day 63,mid-season,27,1.15,1.9064702353226557,2.192440770621054
Day 64,mid-season,26,1.15,1.9064702353226557,2.192440770621054
Day 65,mid-season,25,1.15,1.9064702353226557,2.192440770621054
Day 66,mid-season,24,1.15,1.9064702353226557,2.192440770621054
Day 67,mid-season,23,1.15,1.9064702353226557,2.192440770621054
Day 68,mid-season,22,1.15,1.9064702353226557,2.192440770621054
Day 69,mid-season,21,1.15,1.9064702353226557,2.192440770621054
Day 70,mid-season,20,1.15,1.9064702353226557,2.192440770621054
Day 71,mid-season,19,1.15,1.9064702353226557,2.192440770621054
Day 72,mid-season,18,1.15,1.9064702353226557,2.192440770621054
Day 73,mid-season,17,1.15,1.9064702353226557,2.192440770621054
Day 74,mid-season,16,1.15,1.9064702353226557,2.192440770621054
Day 75,mid-season,15,1.15,1.9064702353226557,2.192440770621054
Day 76,mid-season,14,1.15,1.9064702353226557,2.192440770621054
Day 77,mid-season,13,1.15,1.9064702353226557,2.192440770621054
Day 78,mid-season,12,1.15,1.9064702353226557,2.192440770621054
Day 79,mid-season,11,1.15,1.9064702353226557,2.192440770621054
Day 80,mid-season,10,1.15,1.9064702353226557,2.192440770621054
Day 81,mid-season,9,1.15,1.9064702353226557,2.192440770621054
Day 82,mid-season,8,1.15,1.9064702353226557,2.192440770621054
Day 83,mid-season,7,1.15,1.9064702353226557,2.192440770621054
Day 84,mid-season,6,1.15,1.9064702353226557,2.192440770621054
Day 85,mid-season,5,1.15,1.9064702353226557,2.192440770621054
Day 86,mid-season,4,1.15,1.9064702353226557,2.192440770621054
Day 87,mid-season,3,1.15,1.9064702353226557,2.192440770621054
Day 88,mid-season,2,1.15,1.9064702353226557,2.192440770621054
Day 89,mid-season,1,1.15,1.9064702353226557,2.192440770621054
Day 90,mid-season,0,1.15,1.9064702353226557,2.192440770621054
Day 91,late-season,29,0.5,1.9064702353226557,0.9532351176613278
Day 92,late-season,28,0.5,1.9064702353226557,0.9532351176613278
Day 93,late-season,27,0.5,1.9064702353226557,0.9532351176613278
Day 94,late-season,26,0.5,1.9064702353226557,0.9532351176613278
Day 95,late-season,25,0.5,1.9064702353226557,0.9532351176613278
Day 96,late-season,24,0.5,1.9064702353226557,0.9532351176613278
Day 97,late-season,23,0.5,1.9064702353226557,0.9532351176613278
Day 98,late-season,22,0.5,1.9064702353226557,0.9532351176613278
Day 99,late-season,21,0.5,1.9064702353226557,0.9532351176613278
Day 100,late-season,20,0.5,1.9064702353226557,0.9532351176613278
Day 101,late-season,19,0.5,1.9064702353226557,0.9532351176613278
Day 102,late-season,18,0.5,1.9064702353226557,0.9532351176613278
Day 103,late-season,17,0.5,1.9064702353226557,0.9532351176613278
Day 104,late-season,16,0.5,1.9064702353226557,0.9532351176613278
Day 105,late-season,15,0.5,1.9064702353226557,0.9532351176613278
Day 106,late-season,14,0.5,1.9064702353226557,0.9532351176613278
Day 107,late-season,13,0.5,1.9064702353226557,0.9532351176613278
Day 108,late-season,12,0.5,1.9064702353226557,0.9532351176613278
Day 109,late-season,11,0.5,1.9064702353226557,0.9532351176613278
Day 110,late-season,10,0.5,1.9064702353226557,0.9532351176613278
Day 111,late-season,9,0.5,1.9064702353226557,0.9532351176613278
Day 112,late-season,8,0.5,1.9064702353226557,0.9532351176613278
Day 113,late-season,7,0.5,1.9064702353226557,0.9532351176613278
Day 114,late-season,6,0.5,1.9064702353226557,0.9532351176613278
Day 115,late-season,5,0.5,1.9064702353226557,0.9532351176613278
Day 116,late-season,4,0.5,1.9064702353226557,0.9532351176613278
Day 117,late-season,3,0.5,1.9064702353226557,0.9532351176613278
Day 118,late-season,2,0.5,1.9064702353226557,0.9532351176613278
Day 119,late-season,1,0.5,1.9064702353226557,0.9532351176613278
Day 120,late-season,0,0.5,1.9064702353226557,0.9532351176613278
